name,srid,active,hof,positions,start,end,letter
Eggs Manske,MansEg20,FALSE,FALSE,E,1935,1940,M
Joe Mantell,MantJo20,FALSE,FALSE,G,1924,1924,M
Tillie Manton,MantTi20,FALSE,FALSE,B,1936,1943,M
Dan Manucci,ManuDa20,FALSE,FALSE,QB,1979,1987,M
EJ Manuel,ManuEJ00,TRUE,FALSE,QB,2013,2017,M
Lionel Manuel,ManuLi00,FALSE,FALSE,WR,1984,1990,M
Marquand Manuel,ManuMa20,FALSE,FALSE,DB,2002,2009,M
Rod Manuel,ManuRo20,FALSE,FALSE,DE,1997,1998,M
Sean Manuel,ManuSe20,FALSE,FALSE,TE,1996,1996,M
Frank Manumaleuga,ManuFr20,FALSE,FALSE,LB,1979,1981,M
Brandon Manumaleuna,ManuBr00,FALSE,FALSE,TE,2001,2010,M
Greg Manusky,ManuGr20,FALSE,FALSE,LB,1988,1999,M
Vince Manuwai,ManuVi20,FALSE,FALSE,G,2003,2010,M
Johnny Manziel,ManzJo00,FALSE,FALSE,QB,2014,2015,M
Bap Manzini,ManzBa20,FALSE,FALSE,C,1944,1948,M
Joseph Manzo,ManzJo20,FALSE,FALSE,T,1945,1945,M
Howard Maple,MaplHo20,FALSE,FALSE,B,1930,1930,M
Bobby Maples,MaplBo00,FALSE,FALSE,C-LB,1965,1978,M
Butch Maples,MaplBu20,FALSE,FALSE,LB,1963,1963,M
Tal Maples,MaplTa20,FALSE,FALSE,C,1934,1934,M
Stansly Maponga,MapoSt00,TRUE,FALSE,DE,2013,2015,M
Chris Maragos,MaraCh99,TRUE,FALSE,DB,2010,2017,M
Gary Marangi,MaraGa00,FALSE,FALSE,QB,1974,1976,M
Joe Maras,MaraJo20,FALSE,FALSE,C,1938,1940,M
Justin March-Lillard,MarcJu00,TRUE,FALSE,LB,2016,2017,M
Gino Marchetti,MarcGi00,FALSE,TRUE,DE-T-DT,1952,1966,M
Basilio Marchi,MarcBa20,FALSE,FALSE,G-C,1934,1942,M
Ted Marchibroda,MarcTe20,FALSE,FALSE,QB,1953,1957,M
Ken Marchiol,MarcKe20,FALSE,FALSE,LB,1987,1987,M
Frank Marchlewski,MarcFr20,FALSE,FALSE,C,1965,1970,M
Ron Marciniak,MarcRo20,FALSE,FALSE,G,1955,1955,M
Chester Marcol,marcoche01,FALSE,FALSE,K,1972,1980,M
Hugo Marcolini,MarcHu20,FALSE,FALSE,B,1948,1948,M
Joe Marconi,MarcJo00,FALSE,FALSE,FB,1956,1966,M
Ed Marcontell,MarcEd20,FALSE,FALSE,G,1967,1967,M
Pete Marcus,MarcPe20,FALSE,FALSE,E,1944,1944,M
Greg Marderian,MardGr20,FALSE,FALSE,DT,1976,1976,M
Olindo Mare,marexoli01,FALSE,FALSE,K,1997,2012,M
Owen Marecic,MareOw00,FALSE,FALSE,RB,2011,2012,M
Andy Marefos,MareAn20,FALSE,FALSE,FB-HB,1941,1946,M
Jodie Marek,MareJo20,FALSE,FALSE,FB,1943,1943,M
Ray Marelli,MareRa20,FALSE,FALSE,G,1928,1928,M
Bob Margarita,MargBo20,FALSE,FALSE,HB,1944,1946,M
Ken Margerum,MargKe00,FALSE,FALSE,WR,1981,1987,M
Joe Margucci,MargJo20,FALSE,FALSE,HB-QB,1947,1948,M
Marc Mariani,MariMa00,FALSE,FALSE,WR,2010,2016,M
Ed Marinaro,MariEd00,FALSE,FALSE,RB,1972,1977,M
Dan Marino,MariDa00,FALSE,TRUE,QB,1983,1999,M
Vic Marino,MariVi20,FALSE,FALSE,G,1947,1947,M
Marv Marinovich,MariMa20,FALSE,FALSE,G,1965,1965,M
Todd Marinovich,MariTo00,FALSE,FALSE,QB,1991,1992,M
Brock Marion,MariBr00,FALSE,FALSE,DB,1993,2004,M
Dutch Marion,MariDu20,FALSE,FALSE,FB,1925,1926,M
Frank Marion,MariFr20,FALSE,FALSE,LB,1977,1983,M
Fred Marion,MariFr00,FALSE,FALSE,DB,1982,1991,M
Jerry Marion,MariJe00,FALSE,FALSE,WR,1967,1967,M
Marcus Mariota,MariMa01,TRUE,FALSE,QB,2015,2017,M
Greg Mark,MarkGr20,FALSE,FALSE,DE-LB,1990,1990,M
Lou Mark,MarkLo20,FALSE,FALSE,C-E,1938,1945,M
Cliff Marker,MarkCl20,FALSE,FALSE,E-B,1926,1927,M
